Disease Name,Pet affected,Related Diseases,Symptoms,Predisposed Breeds,Risk Factors,Diagnosis Method,Cause,General Treatment,Medical Treatment, Surgical Treatment,Average Hospital Stay,Preventative Measures,Prognosis,
Anaplasmosis,Dogs and Cats,Lyme disease,"Poor appetite, fever, joint stiffness or pain, difficulty walking, signs of bleeding (bloody nose, dark bloody stool, bruising)",Not Known,Exposure to tick vectors,"Complete blood count, blood smear evaluation, microscopic examination, additional lab tests for confirmation",Anaplasma phagocytophilum,"Antibiotics (doxycycline), blood transfusion if severe anemia or thrombocytopenia",Doxycycline,Not applicable,Not Known,"Tick control, tick preventive medications",Generally good with proper treatment; most pets make a full recovery,
"Anorexia, or Lack of Appetite",Dogs and Cats,"Hepatic lipidosis (in cats), food aversion","Lack of interest in food, refusal to eat, gradual reduction in appetite, weight loss, lethargy",Not Known,"Chronic progressive illness, stress, food aversion","Observation of eating behavior, physical examination, blood tests for underlying illnesses","Various underlying illnesses, stress, food aversion","Nutritional support, appetite-stimulating medications","Capromorelin, Mirtazapine, Cyproheptadine, Prednisolone/Prednisone","Feeding tubes (E-tube, G-tube, Nasogastric tubes)",Varies depending on treatment,"Address underlying illnesses promptly, provide a stress-free environment, feed appropriate diets",Good with proper treatment; varies depending on underlying cause and response to treatment,
Arthritis in Dogs,Dog,Joint diseases,"Rear leg weakness, mobility issues",Not Known,"Aging, obesity, joint injuries","Physical examination, X-rays",Degeneration of joint cartilage,"Supportive care, pain management, weight management, exercise","Nonsteroidal anti-inflammatory drugs (NSAIDs), joint supplements",Joint replacement surgery,Not Applicable,"Weight management, regular exercise, joint supplements",Varies depending on severity and response to treatment,
Aspergillosis,Dogs and Cats (Dogs and Cats),None specified,- Sinonasal (Nose) Aspergillosis:<br> - Snotty nasal discharge<br> - Nose bleeds<br> - Ulcerated nostrils<br>- Disseminated Aspergillosis:<br> - Lameness<br> - Weakness<br> - Incoordination<br> - Draining tracts<br> - Fever<br> - Weight loss<br> - Appetite loss<br> - Uveitis (deep inflammation of the eye),"- Sinonasal Aspergillosis: Dogs with long noses (e.g., collie, greyhound, dachshund), retrievers, rottweilers<br> - Disseminated Aspergillosis: German Shepherd Dogs",- Exposure to Aspergillus fungi<br> - Compromised immune system,- Imaging (CT or MRI)<br> - Rhinoscopy<br> - Tissue biopsy or nasal discharge culture<br> - Blood test for Aspergillus antibodies,"Exposure to Aspergillus fungi, typically through inhalation of spores",- Hospitalization may be required<br> - Supportive care to address symptoms,- Sinonasal Aspergillosis: Topical infusion of clotrimazole into the nasal passages<br> - Disseminated Aspergillosis: Posaconazole medication,"- Disseminated Aspergillosis: Surgical removal of infected body parts (e.g., amputation of affected bone)",Not specified,- Limit exposure to environments with Aspergillus fungi<br> - Prompt treatment of any underlying conditions that may compromise the immune system,"- Sinonasal Aspergillosis: Good with appropriate treatment<br> - Disseminated Aspergillosis: Guarded; long-term treatment may be required, and prognosis is often poor without aggressive intervention",
Ataxia in Dogs and Cats,Dogs and Cats,"Lameness, weakness due to musculoskeletal disease or generalized illness","Stumbling, staggering, inability to make normal, coordinated, voluntary movements, knuckling toes, exaggerated foot placement",Varies depending on the underlying cause,"Congenital defects, inflammatory diseases, brain tumors, strokes, infectious diseases of the brain or spinal cord, traumatic brain injuries, injured disks","Neurological examination, history taking, imaging (CT or MRI), rhinoscopy","Central nervous system problem affecting the brain, spine, or inner ear","Hospitalization, medication to alleviate specific signs (e.g., vomiting), IV fluids, supportive care","Depends on the underlying cause, may include medications to address specific conditions (e.g., brain tumors, infections)","Surgical intervention may be necessary in some cases, such as for brain tumors or injured disks","Variable, depends on the severity of the condition and response to treatment","Preventing predisposing factors if possible, such as trauma or exposure to infectious agents","Depends on the underlying cause and location of the lesions, ranging from benign with supportive care to serious and difficult to resolve",
Atopic Dermatitis,Dogs and cats,"Allergic rhinitis, allergic conjunctivitis","Itching, scratching, hair loss, redness, skin thickening, chronic or recurring yeast infections, involvement of front feet and ear flaps, absence of involvement of ear margins and lower back area, seasonality of symptoms","Dalmatian, Golden retriever, West Highland white terrier, Shar Pei, Labrador retriever, Cairn terrier, Lhasa Apso, Shih Tzu, Boxer, Pug","Genetic predisposition, exposure to allergens such as pollens, molds, dust particles, etc.",Not Known,"Clinical signs, history and physical examination, ruling out other causes of itching, intradermal skin test for Dogs, no specific diagnostic test for cats","Clearing secondary infections, hyposensitization (allergy shots), cortisone-type medications (steroids), cyclosporine, oclacitinib (Apoquel), canine atopic dermatitis immunotherapeutic (Cytopoint) injections, bathing with therapeutic shampoos, minimizing allergen exposure, omega-3 fatty acid supplements, ultra-microsized palmitoylethanolamide (PEA), antihistamines, solid flea control","Medications (steroids, cyclosporine, Apoquel), allergy shots, omega-3 fatty acid supplements, PEA, antihistamines",Not Known,"Outpatient treatment, may require periodic rechecks","Minimize allergen exposure, use air purifiers, keep pets away from mowed lawns and houseplants, use flea control measures, bathe pets regularly with therapeutic shampoos, provide omega-3 fatty acid supplements, use PEA supplements","Atopic dermatitis may not be curable, but it can be managed effectively with treatment. Prognosis depends on the severity of the condition, response to treatment, and ability to identify and minimize exposure to allergens. Regular monitoring and management are important for long-term comfort and skin health. Referral to a veterinary dermatologist may be necessary for cases not responding well to treatment.",
Atopic Dermatitis in Dogs,Dog,"Parasitic infestations (e.g., fleas), bacterial or yeast infections","Scratching, chewing, licking, or rubbing areas of the body (e.g., paws, face, rear end), recurrent skin, ear, and anal gland inflammation and infections, hair loss, reddening, and thickening of the skin","Golden Retrievers, Labrador Retrievers, West Highland White Terriers, BullDogs, and other terriers","Hereditary nature of the disease, exposure to allergens such as plant pollens, house dust mites, or mold spores","Clinical signs, allergy tests (intradermal allergy test, blood allergy test)",Hypersensitivity or over-reaction to environmental substances (allergens),"Avoiding allergens, bathing to remove allergens from the skin, hypoallergenic cream rinse or spray to re-moisturize the skin","Anti-allergy drugs (antihistamines, steroids, cyclosporine, oclacitinib, lokivetmab), may require trying different medications due to individual response","Allergen-specific immunotherapy involves giving a series of diluted allergens to desensitize the Dog to their allergens, takes time to see improvement, usually continued life-long","Outpatient treatment, varies depending on the severity of symptoms and response to treatment","Management of concurrent health issues that may worsen itching, such as parasitic infestations or infections","Variable, improvement can be seen with appropriate treatment, may require lifelong management",
Atrial Fibrillation in Dogs and Cats,Dogs and Cats,"Degenerative valve disease of the mitral valve, cardiomyopathy (dilated, hypertrophic)","Erratic heart rhythm (auscultated as bongo drums or shoes in a dryer), irregular pulse quality, exercise intolerance, shortness of breath (in severe heart disease), symptoms of congestive heart failure","Large and giant-breed Dogs (e.g., Great Danes), less common in cats and small breed Dogs","Enlargement of the atrial chambers due to heart disease, such as degenerative valve disease, cardiomyopathy","Auscultation of the heart with a stethoscope, electrocardiogram (ECG), specific ECG criteria for diagnosis","Rapid, disorganized electrical impulses in the atria, leading to quivering instead of organized contraction","Rate control with antiarrhythmic drugs, managing congestive heart failure","Cardioversion (rarely feasible), antiarrhythmic drugs to reduce heart rate, no treatment required for lone atrial fibrillation in Dogs without symptoms","Outpatient treatment, varies depending on the severity of symptoms and response to treatment","Regular veterinary check-ups for early detection of heart disease, management of underlying heart disease","Variable, lone atrial fibrillation is well tolerated, severe heart disease can worsen prognosis, bringing heart rate close to normal improves survival","Variable, improvement can be seen with appropriate treatment, may require lifelong management",
Aural Hematoma in Dogs and Cats,Dogs and Cats,Ear infections (common concurrent condition),"Swelling in the earflap, fluctuant and fluid-filled sensation in the ear, occlusion of the ear canal, discomfort or pain, change in ear carriage",Not specified,"Head shaking, ear infections","Physical examination, palpation of the ear, may require microscopic examination of discharge for concurrent ear infection",Broken blood vessel due to bleeding inside the ear tissue from head shaking,"Drainage of hematoma to relieve pressure, treatment of concurrent ear infection if present","Corticosteroids, low-level laser therapy","Aspiration (removal of fluid contents), pie-crusting sutures (suturing to prevent refilling), teat cannula placement","Outpatient treatment, varies depending on the severity of the hematoma and response to treatment","Prompt treatment of underlying ear infections, prevention of head shaking","Variable, untreated hematoma may resolve on its own but can lead to scarring and cosmetic deformity (i.e., ""cauliflower"" ear), surgical repair may be necessary to prevent permanent narrowing of the ear canal, especially important in cats due to greater tendency for scarring",
Babesia Infection,Dog,Not Known,"Red blood cell destruction, anemia, weakness, fever, jaundice","Racing greyhounds, pit bull terriers","Tick-borne infection, other tick-borne diseases","Blood smear, antibody testing, PCR testing","Babesia-infected tick bites transmitting Babesia sporozoites to the Dog's bloodstream, maternal transmission","Atovaquone and azithromycin combination, imidocarb","Atovaquone and azithromycin, imidocarb","Imidocarb with atovaquone resistance, doxycycline, clindamycin, metronidazole",Varies depending on severity and treatment method,"Tick control, screening of racing greyhounds for infection, vaccination in certain regions","Good with appropriate treatment, potential for relapse and complications",
Bicipital Tendinopathy in Dogs,Dogs,"Osteochondritis dissecans, medial shoulder syndrome, developmental elbow disease","Foreleg lameness, stiffness, limping, pain increasing with exercise, improving with rest","Medium to large-breed Dogs, athletic Dogs, small breed Dogs, out-of-shape Dogs","Repetitive motion (running, jumping, playing), overweight, underlying diseases","Orthopedic examination, radiographs, ultrasound, MRI",Tendon damage due to repetitive trauma or overloading,"Rest, exercise restrictions, NSAIDs or other pain medications","Rehabilitation program, intra-articular injection of steroid or biologic",Biceps release surgery (arthroscopically),Not Known,"Weight control, avoiding repetitive concussive activities, avoiding weight gain",Full recovery takes approximately 4 to 6 months,
Biliary Mucocele in Dogs,Dogs,Pancreatitis,"Listlessness, not eating, vomiting, diarrhea, fever, jaundice","Shetland sheepDog, cocker spaniel, miniature schnauzer, dachshund","Diabetes mellitus, hypothyroidism, Cushing's disease",Ultrasound,Accumulation of bile acids leading to inflammation and excessive mucus production in the gall bladder,"Supportive care, medications to minimize liver workload","Low-fat diet, choleretics (e.g., ursodiol)",Cholecystectomy (gall bladder removal),Not Known,Not Known,"Surgery survival rate: 75-80%, if ruptured before surgery: 25-40%",
Bladder Stones (Oxalate) in Dogs,Dogs,N/A,"Urinary discomfort, urinary obstruction, ongoing infection, continuing discomfort","Miniature schnauzers, Lhasa Apsos, Yorkshire terriers, miniature poodles, Shih Tzus, Bichon Frises","Hereditary factors, metabolic diseases (e.g., Cushing's disease), certain medications, dietary issues",Retrieval of stone for laboratory analysis,"Genetic predisposition, defective urinary inhibitors, bacterial imbalance, dietary factors, metabolic diseases","Surgical removal of stones, dietary management",Potassium citrate supplementation,"Urethrostomy (in male Dogs), laser lithotripsy","Specialized diets, medication adjustments, monitoring",Variable,Recurrence rate: 50% within three years without prevention measures,
Bladder Stones (Struvite) in Dogs,Dog,Not Known,"Bloody urine, recurrent bladder infection, straining to urinate","Miniature Schnauzer, Shih Tzu, Yorkshire Terrier, Labrador Retriever, Dachshund",Female gender (85% of patients),"Abdominal radiograph, Urine culture (for bacteria like Staphylococci or Proteus), Urinalysis",Bladder infection with Staphylococci or Proteus bacteria,"Stone removal (surgical or non-surgical), Antibiotics for infection control",Dietary dissolution (special therapeutic diets),"Voiding urohydropropulsion, Cystoscopic retrieval/laser lithotripsy, Surgical removal",1-2 days (for surgical removal),"Antibiotics for infection prevention, Regular monitoring (radiographs, urine testing)",Good with appropriate treatment and prevention measures,
Bladder Stones in Dogs and Cats,Dogs and Cats,Not Known,- Straining to urinate<br>- Urinating small amounts more frequently<br>- Dribbling urine<br>- Urinating in unusual places<br>- Vocalizing or crying when urinating<br>- Licking the vulva or penis frequently<br>- Urine may have a strong odor or show mucus or blood,Not Known,Not Known,"- Physical examination<br>- Abdominal palpation<br>- Urinalysis (crystals, pH changes, evidence of infection)<br>- Radiographs (X-rays)<br>- Ultrasound (for stones invisible on X-rays or to view damage to the urinary tract)<br>- Urolith analysis (to determine stone composition)","Formation of solid mineral deposits (stones) inside the bladder due to various factors such as altered urine pH, increased urine concentration, changes in mineral makeup of urine, bladder infections, stress (in cats), toxins, and breed-related factors",- Treat any underlying infection<br>- Adjust diet to normalize urine pH and restrict certain minerals (for dissolution of small stones)<br>- Increase water intake<br>- Monitor and restrict pet's activity,- Antibiotics (for bacterial infections)<br>- Therapeutic diets (to dissolve struvite stones or prevent new stone formation)<br>- Pain medication (post-surgery),- Cystotomy (surgical removal of bladder stones),2 to 4 weeks,"- Therapeutic diets selected for specific stone type<br>- Increase water consumption<br>- Avoid giving additional treats, bones, or flavored chew toys<br>- Monitor pet's diet closely to prevent changes in urine pH and mineral content","Favorable with appropriate treatment and preventative measures; potential complications if left untreated, including difficulty urinating, urinary tract infections, chronic pain, and life-threatening urethral blockage",
Blastomycosis,Dog or Cat,Not Known,"Respiratory signs (coughing, difficulty breathing), eye inflammation, enlarged testicles, fever, swollen lymph nodes, ulcerated/draining skin lesions, bloody urine, difficulty urinating, nasal cavity signs (including bloody nasal discharge), lack of appetite, weight loss",Not Known,"Being in areas with wet, sandy, acidic soils near water; inhalation or direct contact with infective conidia/spores","Physical exam, blood tests, imaging (radiography, ultrasonography, CT), urinalysis, cultures, serology, biopsies of affected organs",Inhalation or direct contact with infective conidia/spores,"Restricted activity for pets with respiratory involvement; wound cleaning and debridement for skin lesions; intravenous fluids, oxygen, antibiotics, and pain medication for severely ill Dogs","Antifungal medications such as itraconazole, ketoconazole, fluconazole, amphotericin B, and some combination therapies","Enucleation for severely affected eyes; surgical treatment for severe lung disease; wound cleaning and debridement for skin lesions; intravenous fluids, oxygen, antibiotics, and pain medication for severely ill Dogs",Varies depending on severity of illness,"Avoiding areas with wet, sandy, acidic soils near water; wearing gloves when cleaning and treating draining lesions for immunocompromised individuals","Approximately 50% to 75% of affected Dogs recover; prognosis is poor for Dogs with severely affected lungs, brain involvement often leads to death; relapses are common within the first 6 months after treatment; no immunity after recovery.",
Bloat,Dog,Not Known,"Distended abdomen, distress, anxiety, pain, multiple unproductive attempts at vomiting, rapid heart rate, abdominal distention (though may not be obvious in well-muscled or overweight Dogs)","Great Dane, Greyhound, Setter Breeds","Age, eating rapidly, exercising after a large meal, feeding from an elevated bowl, consuming dry food with fat or oil in the first four ingredients","Physical exam, radiographs","Stretching of the stomach due to gas and/or food, leading to twisting (gastric dilatation and volvulus)","Stomach decompression, rapid IV fluids, pain medication, antibiotics, electrolytes","Antacids, anti-gas medication, IV fluids, pain medication, antibiotics, electrolytes","Surgery to untwist stomach, remove nonviable tissue, perform gastropexy to prevent future twisting",Varies depending on severity,"Avoiding exercise after meals, gastropexy surgery (especially for at-risk breeds)","Mortality rate ranges from 10% to 38%, with higher mortality associated with severe cases and complications; recurrence rate drops to 6% with gastropexy surgery; prognosis depends on prompt treatment and severity of condition.",
Bloody Nose (Epistaxis),Dog or Cat,"Nasal tumors, trauma, idiopathic rhinitis, low platelets","Blood-tinged droplets, steady bloody drip from nostrils, swelling or deformity of the nose, difficulty breathing",Not specific to any particular breed,"Medications (especially non-steroidal anti-inflammatory drugs like aspirin), rat poisoning, trauma, exposure to foxtails or grass awns","Physical exam, blood tests (complete blood count, coagulation tests), fungal antigen testing, tick panels, blood pressure measurement, radiographs, superficial rhinoscopy, endoscopy, biopsy","Nasal tumors, trauma, fungal infections, blood clotting disorders, tick-borne infections, high blood pressure, tooth abscess","Keep calm, apply ice pack to bridge of nose, avoid inserting absorbent material, consider Yunnan Baiyo supplement, seek veterinary care if bleeding doesn't stop or if pet has difficulty breathing","Oral oxymetazoline nasal spray (e.g., Afrin), Yunnan Baiyo supplement, treatment for underlying cause (e.g., antibiotics, antifungals), blood transfusion if necessary","Surgery to remove tumors, repair trauma, or address other structural issues in the nose",Varies depending on severity of underlying condition,"Avoid medications that affect blood clotting, prevent access to rat poison or dead rodents, minimize exposure to trauma or environmental hazards",Prognosis varies widely depending on underlying cause; survival rates for nasal carcinomas can be relatively short without aggressive treatment.,
Brachial Plexus Avulsion,Dogs and Cats,Not Known,- Inability to move the injured shoulder or leg,Not Known,"Trauma (e.g., automobile accidents, bites, gunshot wounds, falls), Surgical complications","History evaluation, Neurological examination, Imaging tests (X-rays, ultrasound, CT scan, MRI)","Injury to the brachial plexus, a network of nerves arising from the cervical spinal cord in the neck region, which supply stimulation to the muscles of the neck, shoulders, and front limbs, causing dysfunction in one or more front legs.",Supportive care,Pain management with analgesic drugs,Not Known,Not Known,"Restrict access to traffic or other hazards, Avoid letting Dogs ride in open truck beds","Depends on the type, location, and severity of the injury. Mild injuries may show improvement within 1-2 weeks, while severe cases may not improve even after several months. Amputation may be recommended in cases of severe nerve avulsion or lack of progress leading to poor quality of life.",
Brachycephalic Airway Obstruction,Dogs (mainly),Not Known,- Snorting respiratory sounds<br>- Open-mouth breathing and panting<br>- Respiratory distress in severe cases,"Pug, Boston Terrier, Pekingese, Boxer, BullDog, Shih Tzu, and others",Anesthetic risk,"History evaluation, Physical examination, Imaging tests (X-rays, CT scan)","Anatomic deformities including stenotic nares, elongated soft palate, tracheal stenosis, everted laryngeal saccules, and macroglossia",Supportive care including analgesic drugs and range-of-motion exercises,Medications for intestinal issues,"Surgical correction of stenotic nares, elongated soft palate, tracheal stenosis, everted laryngeal saccules, and entropion",Not Known,"Avoid stress and excessive exercise, Travel guidelines for brachycephalic Dogs, Consider harness instead of collar",Depends on the severity and progression of the obstruction. Severe cases may require permanent tracheostomy. Gastrointestinal and eye issues may require ongoing management.,
Breast Cancer,Dogs and Cats,Not Known,- Presence of lumps on mammary glands,Not Known,Not Known,"Biopsy (Incisional or Fine Needle Aspirate), Imaging tests (X-rays, ultrasound)",Not Known,Surgical removal of lumps,Not Known,Surgical removal of lumps (incisional biopsy),Not Known,"Spaying before sexual maturity, Regular check-ups for suspicious lumps",Depends on the malignancy and extent of the tumor. Spaying before sexual maturity greatly reduces the risk.,
Breed-Related Dermatoses,Dogs and Cats,Not Known,"- Skin abnormalities such as alopecia, dermatitis, tumors, etc.",Not Known,Not Known,"Clinical examination, Biopsy",Not Known,Management of symptoms,Medication depending on specific condition,Surgical removal of tumors or affected areas,Not Known,"Regular veterinary check-ups, breed-specific care",Depends on the specific condition and its severity.,
Brucellosis from Raw Milk Consumption,Not Known,"Fistulous withers in horses, infection of vertebrae in Dogs","Fever, sweats, decreased appetite, headache, muscle pain, fatigue",Not Known,Drinking raw milk,"Clinical symptoms, Laboratory testing (blood cultures)",Bacterial infection transmitted through raw milk,Antibiotic therapy,Antibiotics,Not Known,Not Known,"Avoiding raw milk consumption, pasteurization of milk",Favorable with antibiotic treatment,
Brucellosis from Raw Milk Consumption,Not Known,"Fistulous withers in horses, infection of vertebrae in Dogs","Fever, sweats, decreased appetite, headache, muscle pain, fatigue",Not Known,Drinking raw milk,"Clinical symptoms, Laboratory testing (blood cultures)",Bacterial infection transmitted through raw milk,Antibiotic therapy,Antibiotics,Not Known,Not Known,"Avoiding raw milk consumption, pasteurization of milk",Favorable with antibiotic treatment,
Calcium Phosphorus Balance in Dogs and Cats,Dogs and Cats,"Renal Failure, Hyperparathyroidism","Weakness, decreased appetite, bone weakness, mineral deposits in soft tissues, inflammation",Not Known,Renal insufficiency,"Blood tests, Urine tests","Renal insufficiency, impaired kidney function",Fluid therapy,Therapeutic diet,Not Known,Not Known,"Limiting phosphorus intake, therapeutic renal diet",Depends on response to treatment,
